Ayeyarwady	Maubin	Maubin	152940	161153	20277	22834	132663	138319
Ayeyarwady	Myaungmya	Myaungmya	145972	152665	27626	31072	118346	121593
Ayeyarwady	Myaungmya	Wakema	140698	148408	10455	11726	130243	136682
Ayeyarwady	Myaungmya	Einme	94629	99472	6395	7159	88234	92313
Ayeyarwady	Labutta	Mawlamyinegyun	153127	158213	15800	17115	137327	141098
Ayeyarwady	Labutta	Labutta	158912	156306	16173	17230	142739	139076
Ayeyarwady	Hinthada	Kyangin	45623	50460	9123	10372	36500	40088
Ayeyarwady	Hinthada	Zalun	79653	88550	9969	11285	69684	77265
Ayeyarwady	Hinthada	Myanaung	102303	116278	10120	12430	92183	103848
Ayeyarwady	Hinthada	Lemyethna	49661	53363	1338	1519	48323	51844
Ayeyarwady	Hinthada	Hinthada	159694	178741	38868	44894	120826	133847
Ayeyarwady	Hinthada	Ingapu	102377	112007	6167	7153	96210	104854
Nay Pyi Taw	Nay Pyi Taw (North)	Tatkon	103715	113378	19609	22074	84106	91304
Nay Pyi Taw	Nay Pyi Taw (North)	Zay Yar Thi Ri	55642	55651	18864	16242	36778	39409
Nay Pyi Taw	Nay Pyi Taw (North)	Oke Ta Ra Thi Ri	41309	40311	12459	11496	28850	28815
Nay Pyi Taw	Nay Pyi Taw (North)	Poke Ba Thi Ri	57326	59165	22018	22419	35308	36746
Nay Pyi Taw	Nay Pyi Taw (South)	Pyinmana	90731	96834	34214	37796	56517	59038
Nay Pyi Taw	Nay Pyi Taw (South)	Lewe	138135	146258	14498	15710	123637	130548
Nay Pyi Taw	Nay Pyi Taw (South)	Za Bu Thi Ri	51247	59212	48415	56181	2832	3031
Nay Pyi Taw	Nay Pyi Taw (South)	Det Khi Na Thi Ri 	27050	24278	12950	10244	14100	14034
